id,current_title,current_slug,current_status,modified,target_slug,page_type,decision,canonical_page,priority,notes,recommended_action
1275,Own Your Riders,own-your-riders,draft,2026-04-27 23:21:59,own-your-riders,authority,KEEP / NORMALIZE,,P1,Already shell-managed; use as canonical hub for customer relationship ownership.,Keep draft until normalized cluster is ready; later publish and link related pages to it.
1278,Apps Are for the First Ride,apps-are-for-the-first-ride,draft,2026-04-27 23:21:59,apps-are-for-the-first-ride,authority,KEEP / NORMALIZE,,P1,Already shell-managed; strong category phrase and support page.,Keep as support/bridge page; add related links/FAQ later.
1146,Independent Ride Service Solution,independent-ride-service-solution,publish,2026-04-20 16:43:34,solodrive-pro-gig-driver-to-ride-service-owner,conversion/product,MERGE,solodrive-pro-gig-driver-to-ride-service-owner,P1,Strong landing message overlaps heavily with gig-driver-to-owner and homepage.,Use best hero/benefit copy in main conversion landing; redirect or draft duplicate after merge.
880,Start,start,publish,2026-04-18 04:15:49,start,conversion,KEEP / NORMALIZE,,P1,Likely active onboarding/start page with CF7.,Leave manual for now; later make source-controlled conversion page or shortcode shell.
866,SOLODRIVE.PRO - Gig Driver to Ride Service Owner,solodrive-pro-gig-driver-to-ride-service-owner,publish,2026-04-20 00:40:42,solodrive-pro-gig-driver-to-ride-service-owner,conversion/home,KEEP / NORMALIZE,,P1,Strong homepage/landing candidate: clear “way out” framing.,Promote as canonical homepage/primary landing copy after combining best sections.
755,How to Start a Transportation Business in a Small Town,how-to-start-a-transportation-business-in-a-small-town,publish,2026-04-15 20:25:57,how-to-start-a-transportation-business-in-a-small-town,authority,KEEP / NORMALIZE,,P1,High-intent SEO page; strong underserved-market page.,Convert to markdown authority page.
758,Best Alternatives to Uber for Drivers,best-alternatives-to-uber-for-drivers,publish,2026-04-15 20:10:55,best-alternatives-to-uber-for-drivers,authority,KEEP / NORMALIZE,,P1,High-intent search page; should introduce SoloDrive category carefully.,Convert to markdown authority page.
756,Why Uber and Lyft Drivers Struggle to Make More Money,why-uber-and-lyft-drivers-struggle-to-make-more-money,publish,2026-04-18 04:25:06,why-uber-and-lyft-drivers-struggle-to-make-more-money,authority,KEEP / NORMALIZE,,P1,Core emotional hook / problem page.,Convert to markdown authority page and link to Own Your Riders.
848,How Do Private Ride Drivers Get Clients?,how-do-private-ride-drivers-get-clients,publish,2026-04-15 19:30:14,how-do-private-ride-drivers-get-clients,authority,KEEP / NORMALIZE,,P1,Strong direct client acquisition query.,Convert to markdown authority page.
834,Is It Legal to Take Riders Off Uber?,is-it-legal-to-take-riders-off-uber,publish,2026-04-15 19:11:16,is-it-legal-to-take-riders-off-uber,authority/legal-adjacent,KEEP / NORMALIZE,,P2,Important objection page; needs careful language and legal disclaimer links.,Normalize carefully; avoid legal advice; link to disclaimer.
752,How Do Drivers Get Repeat Riders?,how-to-get-repeat-riders,publish,2026-04-15 19:13:51,how-to-turn-uber-riders-into-repeat-customers,authority,MERGE or EXPAND,how-to-turn-uber-riders-into-repeat-customers,P2,Thin but strategically important; overlaps repeat-customer page.,Either expand as separate page or merge into repeat customers page.
753,Can Uber Drivers Start Their Own Business?,can-uber-drivers-start-their-own-business,publish,2026-04-15 19:01:32,can-uber-drivers-start-their-own-business,authority,KEEP / NORMALIZE,,P2,Good question-driven page; should support start/business thesis.,Convert after P1 pages.
754,Uber vs Owning Your Own Ride Business,uber-vs-owning-your-own-business,publish,2026-04-15 16:07:01,uber-vs-owning-your-own-business,authority/comparison,KEEP / NORMALIZE,,P2,Good comparison page; category-defining.,Convert to comparison template.
757,Do Uber Drivers Own Their Customers?,do-uber-drivers-own-their-customers,publish,2026-04-15 15:42:50,do-uber-drivers-own-their-customers,authority,KEEP / NORMALIZE,,P2,Directly supports “own your riders” thesis.,Convert and link prominently to Own Your Riders.
761,How to Turn Uber Riders Into Repeat Customers,how-to-turn-uber-riders-into-repeat-customers,publish,2026-04-15 15:39:20,how-to-turn-uber-riders-into-repeat-customers,authority,KEEP / NORMALIZE,,P1,Core growth loop query; should be a top hub/support page.,Convert to markdown authority page.
751,What Should Uber Drivers Do Next?,what-should-uber-drivers-do-next,publish,2026-04-15 15:47:30,what-should-uber-drivers-do-next,authority/hub,KEEP / NORMALIZE,,P1,Likely hub page for the full thesis.,Convert to markdown as authority hub.
750,Is Uber Worth It Long Term?,is-uber-worth-it-long-term,publish,2026-04-15 15:45:16,is-uber-worth-it-long-term,authority,KEEP / NORMALIZE,,P2,Good high-intent query; supports future-risk narrative.,Convert after core cluster.
746,Test Authority Page,(blank),draft,2026-04-15 13:12:31,,test,DELETE / DRAFT,,P4,Blank slug / Test Authority Page; not useful as public content.,Trash or keep draft only if needed for testing.
469,Landing Page (Infrastructure),landing-page-infrastructure,draft,2026-04-14 00:11:54,landing-page-infrastructure,experiment,DELETE / DRAFT,,P4,Very thin draft / old experiment.,Trash or archive.
507,SOLODRIVE.PRO,landing-page-copy,draft,2026-04-13 23:47:45,solodrive-pro-gig-driver-to-ride-service-owner,conversion draft,MERGE,solodrive-pro-gig-driver-to-ride-service-owner,P3,Duplicate/alternate landing copy.,"Extract best lines, then draft/delete."
710,Prospect,prospect,publish,2026-04-13 17:08:34,prospect,operational,LEAVE MANUAL,,P1,Shortcode/state page; not content-managed yet.,Leave as WP operational page.
531,Start,start_old,publish,2026-04-16 03:49:34,start,operational/archive,REDIRECT or DELETE,start,P3,Old start shortcode page.,Redirect to /start/ or trash after confirming no links.
527,Special,special,draft,2026-04-21 15:21:12,pricing-special,conversion experiment,MERGE,pricing-special,P3,Special offer/conversion variant.,Merge if still useful; otherwise draft.
488,About,about,publish,2026-04-18 03:51:48,about,company/trust,KEEP / NORMALIZE,,P2,Trust/company page; should be source-controlled eventually.,Normalize as company page.
485,Legal Disclaimer,legal-disclaimer,publish,2026-04-21 17:34:56,legal-disclaimer,legal/trust,LEAVE MANUAL / NORMALIZE,,P1,Important legal boundary page; preserve carefully.,Leave manual until legal copy is final; later source-control.
472,Privacy,privacy,publish,2026-04-10 21:42:54,privacy,legal/trust,LEAVE MANUAL,,P1,Important legal/privacy page.,Leave manual unless reviewed.
464,Pricing Special,pricing-special,draft,2026-04-08 03:54:18,pricing,conversion/pricing,MERGE,pricing,P2,Rich pricing offer; likely overlaps pricing.,Extract best pricing card/product offer; merge into canonical pricing page.
462,The Exit,the-exit,publish,2026-04-10 21:02:53,convert-your-rides,conversion/narrative,MERGE,convert-your-rides,P2,Strong narrative page overlapping homepage/convert page.,Merge best sections into conversion flow or keep as campaign page.
417,Convert Your Rides,convert-your-rides,publish,2026-04-10 21:05:26,convert-your-rides,conversion,KEEP / NORMALIZE,,P1,Strong conversion page with “they are already in your car” thesis.,Make canonical conversion page or campaign landing.
413,Pricing,pricing,publish,2026-04-10 21:09:38,pricing,conversion/pricing,KEEP / NORMALIZE,,P1,Canonical pricing/product card candidate.,Normalize with plan/package language.
400,Landing Page,landing-page,publish,2026-04-10 20:54:35,solodrive-pro-gig-driver-to-ride-service-owner,conversion/home,MERGE,solodrive-pro-gig-driver-to-ride-service-owner,P2,Older landing page copy overlaps homepage.,Merge strongest sections into canonical landing.
138,Frequently Asked Questions,f-a-q,publish,2026-04-10 21:13:14,f-a-q,trust/faq,KEEP / NORMALIZE,,P2,FAQ supports conversion and objections.,Normalize and link to authority pages.
136,Request Access,request-access,publish,2026-04-10 21:11:26,request-access,conversion/intake,KEEP / NORMALIZE,,P1,Core conversion page.,Keep active; eventually source-control shell but preserve form/shortcode.
62,SOLODRIVE.PRO,solodrive-pro,draft,2026-03-27 23:42:42,solodrive-pro-gig-driver-to-ride-service-owner,home/archive,REDIRECT or MERGE,solodrive-pro-gig-driver-to-ride-service-owner,P3,Draft older homepage/about page.,"Compare with homepage, merge if useful, then delete/draft."
